title,region,publisher,productId,upc,releaseDate,rating
Asterix & Obelix: Paf! Par Toutatis!,EU,Infogrames,AGB-AOBP-EUR,,01/25/02,
Astro Boy: Omega Factor,US,Sega,AGB-BTAE-USA,010086600278,08/18/04,E
Atari Anniversary Advance,US,Infogrames,AGB-AAVE-USA,742725234949,03/25/02,E
Atomic Betty,US,Namco,AGB-BETE-USA,722674500159,10/25/05,E
Avatar: The Last Airbender,US,THQ,AGB-BQZE-USA,785138322384,10/10/06,E
Avatar: The Last Airbender - The Burning Earth,US,THQ,AGB-BBWE-USA,785138322575,10/16/07,E
Azumanga Daioh Advance,JP,King Records,AGB-AZAJ-JPN,4988003283605,04/25/03,
BB Ball,JP,Micott & Basara,AGB-A8LJ-JPN,4580159410005,06/24/04,A
BMX Trick Racer,US,Simon & Schuster,AGB-AT9E-USA,076714522947,12/31/03,E
Babar to the Rescue,US,The Game Factory,AGB-BBVE-USA,855433001328,06/28/06,E
Back to Stone,US,O3 Entertainment,AGB-BBCE-USA,891563001067,12/15/06,E
BackTrack,US,Telegames,AGB-ABKE-USA,834815002016,10/04/01,T
Backyard Baseball,US,Infogrames,AGB-ACKE-USA,742725235014,05/30/02,E
Backyard Baseball 2006,US,Atari SA,AGB-BCYE-USA,742725260856,03/16/05,E
Backyard Basketball,US,Atari SA,AGB-AYBE-USA,742725235441,09/22/04,E
Backyard Football,US,Infogrames,AGB-AYFE-USA,742725235434,09/25/02,E
Backyard Football 2006,US,Atari SA,AGB-BYFE-USA,742725265332,10/18/05,E
Backyard Hockey,US,Atari SA,AGB-BYHE-USA,742725248052,10/09/03,E
Backyard Skateboarding,US,Atari SA,AGB-BS6E-USA,742725265363,10/04/04,E
Backyard Sports Baseball 2007,US,Atari SA,AGB-BC7E-USA,742725273641,06/12/06,E
Backyard Sports Basketball 2007,US,Atari SA,AGB-BB7E-USA,742725273689,11/14/06,E
Backyard Sports Football 2007,US,Atari SA,AGB-BF7E-USA,742725273726,09/26/06,E
Bakuten Shoot Beyblade 2002: Gekisen! Team Battle!! Kouryuu no Shou - Daichi Version,JP,Broccoli,AGB-A3EJ-JPN,4510417030331,12/06/02,
Bakuten Shoot Beyblade 2002: Ikuze! Gekitou! Chou Jiryoku Battle!!,JP,Broccoli,AGB-AB8J-JPN,4510417030232,06/27/02,
Bakuten Shoot Beyblade: Gekitou! Saikyou Blade,JP,Broccoli,AGB-AHEJ-JPN,4510417030195,12/06/01,
Baldur's Gate: Dark Alliance,US,Destination Software,AGB-BGDE-USA,802068100186,02/10/04,T
Ballistic: Ecks vs. Sever,US,Bam Entertainment,AGB-AEEE-USA,682384320211,09/14/02,T
Banjo-Kazooie: Grunty's Revenge,US,THQ,AGB-BKZE-USA,785138321530,09/10/03,E
Banjo-Pilot,US,THQ,AGB-BAJE-USA,785138321554,01/12/05,E
Barbarian,US,Titus Software,,,Canceled,T
Barbie Software - Horse Adventures: Blue Ribbon Race,US,VU Games,AGB-AI8E-USA,020626720533,09/17/03,E
Barbie Software: Groovy Games,US,VU Games,AGB-AVBE-USA,020626717045,09/04/02,E
Barbie Superpack: Secret Agent / Groovy Games,US,VU Games,AGB-BBEE-USA,020626724111,09/14/05,E
Barbie and the Magic of Pegasus,US,VU Games,AGB-BE5E-USA,020626723671,09/06/05,E
Barbie as The Island Princess,US,Activision Value,AGB-BBNE-USA,047875753990,10/30/07,E
Barbie as the Princess and the Pauper,US,VU Games,AGB-BAUE-USA,020626721950,09/12/04,E
Barbie in The 12 Dancing Princesses,US,Activision,AGB-BB3E-USA,047875753136,10/30/06,E
Barnyard,US,THQ,AGB-BBYE-USA,785138321844,08/01/06,E
Baseball Advance,US,THQ,AGB-ABPE-USA,785138321011,03/20/02,E
Bass Tsuri Shiyouze!: Tournament wa Senryaku da!,JP,Konami,AGB-AZBJ-JPN,4988602094831,12/05/02,
Batland,JP,Nintendo,,,Canceled,
Batman Begins,US,EA Games,AGB-BBGE-USA,014633149098,06/14/05,E10+
Batman: Rise of Sin Tzu,US,Ubisoft,AGB-BATE-USA,008888141495,10/27/03,E
Batman: Vengeance,US,Ubisoft,AGB-ABTE-USA,008888140030,10/30/01,E
Battle B-Daman,US,Atlus,AGB-BDXE-USA,730865850174,07/26/06,E
Battle B-Daman: Fire Spirits!,US,Atlus,AGB-BBME-USA,730865850228,09/26/06,E10+
Battle x Battle: Kyoudai Uo Densetsu,JP,Starfish,AGB-BBFJ-JPN,4948297010554,09/26/03,
BattleBots: Beyond the BattleBox,US,Majesco,AGB-ABEE-USA,096427012740,12/10/02,E
Battlebots: Design & Destroy,US,Majesco,AGB-BBDE-USA,096427013204,08/31/03,E
Battletoads,US,Nintendo,,,Canceled,
Beast Shooter: Mezase Beast King,JP,Konami,AGB-AH5J-JPN,4988602087734,10/31/02,
Beat The SAT,US,Tomy Corporation,,,Canceled,
Bejeweled,US,Majesco,,,Canceled,E
Best Play Pro Yakyuu,JP,Enterbrain,AGB-A8YJ-JPN,4541993011209,10/25/02,
Beyblade G-Revolution,US,Atari SA,AGB-BB2E-USA,742725256897,11/18/04,E
Beyblade VForce: Ultimate Blader Jam,US,Atari SA,AGB-BEYE-USA,742725248489,11/18/03,E
Bibi Blocksberg: Der Magische Hexenkreis,EU,Kiddinx,AGB-BBXD-DEU,,08/13/05,
Bibi und Tina: Ferien auf dem Martinshof,EU,Kiddinx,AGB-BUXD-DEU,,08/11/06,
Big Mutha Truckers,US,Destination Games,AGB-B63E-USA,802068100346,11/09/05,E10+
Bionicle,US,THQ,AGB-BIOE-USA,785138321516,09/10/03,E
Bionicle Heroes,US,Eidos Interactive,AGB-BIHE-USA,788687400275,11/14/06,E
Bionicle: Matoran Adventures,US,Lego Media,AGB-A5AE-USA,014633145540,10/29/02,E
Bionicle: Maze of Shadows,US,THQ,AGB-BILE-USA,785138321820,09/18/05,E
Black Belt Challenge,US,THQ,AGB-AB6E-USA,,Canceled,E
Black Black,JP,Capcom,AGB-AWEJ-JPN,4976219635134,02/08/02,
Black Matrix Zero,JP,NEC Interchannel,AGB-AXBJ-JPN,4513244900600,08/30/02,
Blackthorne,US,Blizzard Classic Arcade,AGB-AQXE-USA,020626719018,09/17/03,T
Blades of Thunder,US,Summitsoft Entertainment,AGB-BBHE-USA,831666900249,02/01/05,T
Bleach Advance: Kurenai ni Somaru Soul Society,JP,Sega,AGB-BLEJ-JPN,4974365860240,07/21/05,A
Blender Bros.,US,Infogrames,AGB-ABRE-USA,742725235229,04/15/02,E
BloodRayne,US,Majesco,,,Canceled,
Blue Angelo: Angels from the Shrine,EU,Shibuya Interactive,,,Canceled,
Board Game Classics,US,DSI Games,AGB-B6EE-USA,802068100520,11/03/05,E
Boboboubo Boubobo: 9 Kiwame Senshi Gyagu Yuugou,JP,Hudson,AGB-BB9J-JPN,4988607005788,03/25/04,A
Boboboubo Boubobo: Bakutou Hajike Taisen,JP,Hudson,AGB-BOSJ-JPN,4988607005795,09/09/04,A
Boboboubo Boubobo: Majide!!? Shinken Shoubu,JP,Hudson,AGB-BOBJ-JPN,4988607005757,08/07/03,A
Boboboubo Boubobo: Ougi 87.5 Bakuretsu Hanage Shinken,JP,Hudson,AGB-A8VJ-JPN,4988607005740,12/19/02,
Boktai 2: Solar Boy Django,US,Konami,AGB-U32E-USA,083717500476,10/19/04,T
Boktai: The Sun Is in Your Hand,US,Konami,AGB-U3IE-USA,083717500407,09/16/03,E
Boku no Kabuto - Kuwagata,JP,MTO,AGB-BKKJ-JPN,4536478000519,06/27/03,
Boku no Kabuto Mushi (Minna no Shiiku Series 1),JP,MTO,AGB-AB7J-JPN,4536478000229,07/13/01,
Boku no Kuwagata (Minna no Shiiku Series 2),JP,MTO,AGB-AW7J-JPN,4536478000236,08/03/01,
