title,region,publisher,productId,upc,releaseDate,rating
Battle Stadium: Senbatsu Pro Yakyuu,JP,IGS (Japan),IGS-X8,4980888000032,12/19/90,
Battle Storm,JP,Yonezawa PR21,YZW-9Y,4979750330025,12/21/91,
Battleship,US,Mindscape,NES-BH,,September 1993,
Battletoads,US,Tradewest,NES-BT-USA,031719199112,June 1991,
Battletoads & Double Dragon,US,Tradewest,NES-U8,031719199242,June 1993,
Be-Bop High School: Koukousei Gokuraku Densetsu,JP,Data East,DFC-EP,4961082610074,03/30/88,
Beauty and the Beast,US,Hudson Soft,,,Canceled,
Bee 52,US,Camerica,,,1992,
Beetlejuice,US,LJN Ltd.,NES-4B,,May 1991,
Best Keiba Derby Stallion,JP,ASCII Entertainment,HSP-46,4988606100507,12/21/91,
Best Play Pro Yakyuu,JP,ASCII Entertainment,HSP-11,4988606100224,07/15/88,
Best Play Pro Yakyuu '90,JP,ASCII Entertainment,HSP-36,4988606100408,12/13/90,
Best Play Pro Yakyuu II,JP,ASCII Entertainment,HSP-33,4988606100323,03/30/90,
Best Play Pro Yakyuu Special,JP,ASCII Entertainment,HSP-BS,4988606100569,10/16/92,
Best of the Best: Championship Karate,US,Electro Brain,NES-BB,099451024888,December 1992,
Bible Adventures,US,Wisdom Tree,,,1990,
Bible Buffet,US,Wisdom Tree,,,1993,
Big Nose Freaks Out,US,Camerica,,,1992,
Big Nose the Caveman,US,Camerica,,,1991,
Bigfoot,US,Acclaim,NES-A8-USA,,July 1990,
Bikkuriman World: Gekitou Sei Senshi,JP,Hudson,HFC-V3,4988607000332,07/27/90,
Bill & Ted's Excellent Video Game Adventure,US,LJN Ltd.,NES-42,,August 1991,
Bill Elliott's NASCAR Challenge,US,Konami,NES-EV,,April 1991,
Binary Land,JP,Hudson,HFC-BI,4988006906112,12/19/85,
Bingo,AS,Micro Genius,,Other,1991,
Bingo 75,AS,Sachen,SA-007,,1990,
Bio Force Ape,JP,Seta Corporation,,Other,Canceled,
Bio-Miracle Bokutte Upa,JP,Konami,RV102,4988602602814,02/26/93,
Bionic Commando,US,Capcom,NES-CM-USA,013388110087,December 1988,
Bird Week,JP,Toshiba EMI,TFS-BK,4988006002975,06/03/86,
Blackjack,US,American Video Entertainment,,,1992,
Blades of Steel,US,Konami,NES-VS,,December 1988,
Blaster Master,US,SunSoft,NES-VM-USA,020763110068,November 1988,
Blazebusters,US,ASCII Entertainment,,,Canceled,
Blockout,US,Technos,,,Canceled,
Blodia Land: Puzzle Quest,JP,Tonkin House,TKS-XF,4961355676714,08/11/90,
Bloody Warriors: Shango no Gyakushuu,JP,Toei Animation,TDF-94,4960919101167,10/19/90,
Bo Jackson Baseball,US,Data East USA,NES-6J,,October 1991,
Bokosuka Wars,JP,ASCII Entertainment,HSP-04,4988113007498,12/14/85,
Bomberman,US,Hudson,NES-BM-USA,039854000034,January 1989,
Bomberman II,US,Hudson,NES-BW,,February 1993,
Bonk's Adventure,US,Hudson,NES-K8,039854000393,January 1994,
Booby Kids,JP,Nihon Bussan,NBF-BB,4960641000059,07/10/87,
Bookyman,AS,NTDEC,,Other,1992,
Boulder Dash,US,JVC Digital Studios,NES-XB-USA,009119313490,June 1990,
Bram Stoker's Dracula,US,Sony Imagesoft,NES-DR,090451101067,September 1993,
